resource_id,resource_type,cloud_provider,region,created_at,last_used_at,days_since_used,monthly_cost_usd,tag_owner,tag_project,tag_environment,shadow_label
res-cdaaede7a7,EBSVolume,Azure,us-west-2,2023-12-20,2024-06-28,2,63.63,team-backend,project-gamma,development,normal
res-e8e1c40b93,RDSInstance,GCP,eu-west-1,2023-11-29,2024-06-21,9,761.41,team-ml,project-beta,staging,normal
res-c2b34551ae,LambdaFunction,AWS,eu-west-1,2023-12-20,2024-06-25,5,31.43,team-backend,project-omega,development,normal
res-b815545e60,NATGateway,Azure,eu-west-1,2024-05-08,2024-06-30,0,198.23,team-infra,project-beta,staging,normal
res-436c1f7760,RDSInstance,Azure,ap-southeast-1,2023-12-01,2024-06-30,0,862.89,team-frontend,project-beta,production,normal
res-70cd091972,S3Bucket,GCP,eu-west-1,2023-12-22,2024-06-20,10,6.75,team-data,project-alpha,production,normal
res-131ac08340,NATGateway,GCP,eu-west-1,2024-03-29,2024-06-20,10,134.96,team-backend,project-beta,staging,normal
res-1e903de894,EBSVolume,Azure,us-west-2,2023-05-02,2024-06-18,12,46.06,team-backend,project-beta,staging,normal
res-c454c052b4,EBSVolume,AWS,ap-south-1,2023-02-19,2024-06-28,2,31.06,team-security,project-omega,development,normal
res-f53c2d4485,EBSVolume,AWS,us-east-1,2024-02-20,2024-01-03,179,148.76,,,,shadow_it
res-6371a901d7,EBSVolume,AWS,us-west-2,2023-07-30,2024-06-18,12,130.1,team-data,project-gamma,production,normal
res-4671494e77,ElasticIP,AWS,ca-central-1,2024-04-07,2024-06-30,0,4.51,team-ml,project-alpha,staging,normal
res-841d8d9292,EBSVolume,Azure,eu-west-1,2023-05-22,2024-06-25,5,133.14,team-ml,project-alpha,production,normal
res-5c72b9a9b3,ElasticIP,GCP,eu-west-1,2023-03-24,2024-06-17,13,8.04,team-security,project-beta,development,normal
res-3dc2d812ca,RDSInstance,GCP,ca-central-1,2023-08-04,2024-06-18,12,351.17,team-security,project-beta,staging,normal
res-dccfc71acc,RDSInstance,Azure,eu-west-1,2023-10-02,2023-11-03,240,827.62,,,,shadow_it
res-4488fda3d2,ElasticIP,Azure,ap-southeast-1,2024-02-11,2024-06-26,4,9.78,team-infra,project-gamma,staging,normal
res-25d9801517,S3Bucket,Azure,eu-west-1,2023-03-28,2023-10-12,262,71.56,,,,shadow_it
res-e3e9b1a0de,ElasticIP,AWS,ca-central-1,2023-06-23,2024-06-17,13,4.83,team-data,project-beta,development,normal
res-7f0e6e9347,EBSVolume,GCP,ca-central-1,2023-10-28,2024-06-17,13,25.73,team-frontend,project-delta,production,normal
res-d3795078fb,LambdaFunction,AWS,ap-southeast-1,2023-08-08,2024-06-19,11,37.46,team-data,project-omega,staging,normal
res-5d5cf37e76,EKSCluster,GCP,ca-central-1,2023-04-21,2024-06-22,8,1030.53,team-security,project-omega,development,normal
res-ebceccdb52,EKSCluster,AWS,ca-central-1,2024-05-30,2024-06-18,12,231.96,team-frontend,project-alpha,development,normal
res-14b53c1d14,EC2Instance,Azure,ap-south-1,2023-06-08,2024-06-20,10,233.49,team-security,project-omega,development,normal
res-eae012619a,RDSInstance,Azure,eu-west-1,2023-12-27,2024-06-25,5,796.98,team-data,project-beta,staging,normal
res-a8b9b1550b,EBSVolume,Azure,ap-southeast-1,2023-12-20,2024-06-27,3,128.21,team-frontend,project-delta,development,normal
